No.;Categories;Emission Intensity (gCO2e/EUR)
1.;Alcoholic Beverages;467.51
2.;Non-Alcoholic Beverages;467.51
3.;Bakeries & Cafés;84.40
4.;Catering;84.40
5.;Convenience Stores;47.54
6.;Groceries - Food;610.44
7.;General;291.81
8.;Household Appliances;407.65
9.;Communication;95.19
10.;Energy;592.94
11.;Glassware, Tableware, and Household Utensils;548.63
12.;Rent / Home;96.49
13.;Maintenance, Repair, and Security;88.62
14.;Household Textiles;369.80
15.;Tools and Equipment for House and Garden;47.54
16.;Water Supply and Miscellaneous Services;1045.62
17.;Drug Stores - Medical Products, Appliances, and Equipment;448.37
18.;Education;87.72
19.;Financial Services;74.03
20.;Other Health Services;118.56
21.;Insurance;78.93
22;Lodging & Accommodation;84.40
23;Other Recreational Items and Equipment, Gardens, and Pets;283.99
24.;Outpatient Care Services;18.56
28;Recreational and Cultural Services;165.28
26;Other Services;103.21
27;Social Protection;165.41
28.;Audio Streaming Services;6.20
29;Video Streaming Services;202.28
30;Tobacco;327.48
31;Travel - Package Holidays;237.25
32;Clothes / Shopping;372.08
33;Footwear / Shopping;253.47
34.;Furniture;128.45
35;Online Shopping;129.72
36;Personal Care;103.21
37;Other Personal Effects;47.54
38;Other Major Durables for Recreation and Culture;448.37
39.;Secondhand Clothing;156.25
40;Newspapers, Books, and Stationery;178.47
41;Audio-Visual, Photographic and Information Processing Equipment;85.53
42;Car Rental;235.11
43;Electric Vehicles;442.11
44;E-Mobility;442.11
45;Air Travel;1666.78
46;Local Public Transport;226.24
47;Service Stations;1175.43
48;Taxi Cabs & Limousines;226.24
49;Train Travel;255.74
50;Operation of Personal Transport Equipment;283.85
51;Purchase of Vehicles;177.69
